id,perfil_esperado,mensaje_usuario,clasificacion_obtenida,coincide,json_parseo_ok,lead_completo,tiempo_ms,respuesta_preview,timestamp_utc,modo_ejecucion,notas
CAL-01,caliente,"Hola, soy Carla, necesito comprar un depto de 2 amb en Godoy Cruz esta misma semana, presupuesto hasta 95000 dolares, decisime que hay",,,,,,,,SIN_API_KEY_ejecutar_contra_bot,Completar cuando n8n+Groq/Telegram estén activos
CAL-02,caliente,"Buenas, mi nombre es Martín. Busco casa 3 dorm en Maipú para mudarme ya, hasta 180 mil usd, ¿me agendás visita?",,,,,,,,SIN_API_KEY_ejecutar_contra_bot,Completar cuando n8n+Groq/Telegram estén activos
CAL-03,caliente,"Soy Lucía, quiero comprar PH en Chacras hasta 220k, prioritario este mes, ¿qué tenés disponible hoy?",,,,,,,,SIN_API_KEY_ejecutar_contra_bot,Completar cuando n8n+Groq/Telegram estén activos
CAL-04,caliente,"Hola soy Diego. Depto 2 amb Centro de Mendoza, compra cash hasta 80k usd, urgencia alta por trabajo",,,,,,,,SIN_API_KEY_ejecutar_contra_bot,Completar cuando n8n+Groq/Telegram estén activos
CAL-05,caliente,"Me llamo Paula, busco local comercial en Godoy Cruz para comprar, presupuesto 150 mil, quiero firmar en 15 días",,,,,,,,SIN_API_KEY_ejecutar_contra_bot,Completar cuando n8n+Groq/Telegram estén activos
CAL-06,caliente,"Soy Andrés, casa o duplex en Luján de Cuyo, 3 amb, compra hasta 160k, mudanza el mes que viene, dame opciones ya",,,,,,,,SIN_API_KEY_ejecutar_contra_bot,Completar cuando n8n+Groq/Telegram estén activos
CAL-07,caliente,"Hola, Vero acá. Compro depto 3 amb en Las Heras hasta 100k dólares, necesito ver uno esta semana",,,,,,,,SIN_API_KEY_ejecutar_contra_bot,Completar cuando n8n+Groq/Telegram estén activos
CAL-08,caliente,"Buen día, Roberto. Terreno o casa en Guaymallén para compra inmediata, max 120k, ¿tenemos turno?",,,,,,,,SIN_API_KEY_ejecutar_contra_bot,Completar cuando n8n+Groq/Telegram estén activos
CAL-09,caliente,"Soy Flor, depto 2 dorm en Nueva Ciudad, compra hasta 110000, urgencia por alquiler que vence",,,,,,,,SIN_API_KEY_ejecutar_contra_bot,Completar cuando n8n+Groq/Telegram estén activos
CAL-10,caliente,"Hola, soy Nico. Busco dpto amoblado o semi para comprar en Godoy Cruz, 3 amb, 130k usd, avanzar YA",,,,,,,,SIN_API_KEY_ejecutar_contra_bot,Completar cuando n8n+Groq/Telegram estén activos
