id,perfil_esperado,mensaje_usuario,clasificacion_simple01,coincide_simple01_vs_esperado,clasificacion_ia,coincide_ia_vs_esperado,simple01_igual_ia,keywords_disparadas_simple01
CAL-01,caliente,"Hola, soy Carla, necesito comprar un depto de 2 amb en Godoy Cruz esta misma semana, presupuesto hasta 95000 dolares, decisime que hay",caliente,si,caliente,si,si,comprar
CAL-02,caliente,"Buenas, mi nombre es Martín. Busco casa 3 dorm en Maipú para mudarme ya, hasta 180 mil usd, ¿me agendás visita?",caliente,si,caliente,si,si,ya
CAL-03,caliente,"Soy Lucía, quiero comprar PH en Chacras hasta 220k, prioritario este mes, ¿qué tenés disponible hoy?",caliente,si,caliente,si,si,comprar
CAL-04,caliente,"Hola soy Diego. Depto 2 amb Centro de Mendoza, compra cash hasta 80k usd, urgencia alta por trabajo",frio,no,caliente,si,no,(ninguna→frio)
CAL-05,caliente,"Me llamo Paula, busco local comercial en Godoy Cruz para comprar, presupuesto 150 mil, quiero firmar en 15 días",caliente,si,caliente,si,si,comprar
CAL-06,caliente,"Soy Andrés, casa o duplex en Luján de Cuyo, 3 amb, compra hasta 160k, mudanza el mes que viene, dame opciones ya",caliente,si,caliente,si,si,ya
CAL-07,caliente,"Hola, Vero acá. Compro depto 3 amb en Las Heras hasta 100k dólares, necesito ver uno esta semana",tibio,no,caliente,si,no,ver
CAL-08,caliente,"Buen día, Roberto. Terreno o casa en Guaymallén para compra inmediata, max 120k, ¿tenemos turno?",frio,no,caliente,si,no,(ninguna→frio)
CAL-09,caliente,"Soy Flor, depto 2 dorm en Nueva Ciudad, compra hasta 110000, urgencia por alquiler que vence",frio,no,caliente,si,no,(ninguna→frio)
CAL-10,caliente,"Hola, soy Nico. Busco dpto amoblado o semi para comprar en Godoy Cruz, 3 amb, 130k usd, avanzar YA",caliente,si,caliente,si,si,"comprar,ya"
TIB-11,tibio,"Hola, estoy mirando departamentos por zona de Maipú, todavía no sé si compro o alquilo. ¿Qué hay por 2 amb?",frio,no,tibio,si,no,(ninguna→frio)
TIB-12,tibio,"Buenas, me interesa ver opciones de casas en Luján pero sin apuro. Presupuesto más o menos 100-130k",tibio,si,tibio,si,si,ver
TIB-13,tibio,"Quería consultar sobre depts en Centro, más que nada para informarme de precios",tibio,si,frio,no,no,"info,precio"
TIB-14,tibio,"Hola, pensamos mudarnos el año que viene a Godoy Cruz, 2 o 3 amb, ¿me pasás una idea de valores?",frio,no,frio,no,si,(ninguna→frio)
TIB-15,tibio,"Estoy comparando alquiler vs compra de un local chico en Guaymallén, no tengo fecha firme",frio,no,tibio,si,no,(ninguna→frio)
TIB-16,tibio,"Buenas, mi pareja y yo queremos ver un PH en Chacras cuando puedan, presupuesto flexible",tibio,si,tibio,si,si,ver
TIB-17,tibio,"Hola, busco info de duplex en Las Heras, aún estamos evaluando bancos",tibio,si,tibio,si,si,info
TIB-18,tibio,Consulta general: qué tenés en Maipú alrededor de 70 mil dólares en depts,frio,no,tibio,si,no,(ninguna→frio)
TIB-19,tibio,"Hola, me gustaría conocer opciones de casa 2 dorm, no sé zona todavía, tal vez Maipú o Godoy",frio,no,tibio,si,no,(ninguna→frio)
TIB-20,tibio,"Buenas, un amigo me recomendó, me interesa depto para inversión a mediano plazo en Mendoza capital",tibio,si,tibio,si,si,ver
FRI-21,frio,"Hola, solo miraba el catálogo, no busco nada en particular",frio,si,frio,si,si,(ninguna→frio)
FRI-22,frio,¿Ustedes venden autos también o solo casas?,frio,si,frio,si,si,(ninguna→frio)
FRI-23,frio,"Buenas, una curiosidad: más o menos cuánto sale un depto en Mendoza?",frio,si,frio,si,si,(ninguna→frio)
FRI-24,frio,"Hola, pasaba a ver, no sé si me animo a buscar ahora",tibio,no,frio,si,no,ver
FRI-25,frio,¿Hacen tasaciones gratis? Por ahora no pienso mudarme,frio,si,frio,si,si,(ninguna→frio)
FRI-26,frio,"Buenas, cómo está el mercado en general? Solo charla",frio,si,frio,si,si,(ninguna→frio)
FRI-27,frio,"Hola bot, contame un chiste de inmobiliaria jaja",frio,si,frio,si,si,(ninguna→frio)
FRI-28,frio,"Estoy en el canal porque me reenviaron el link, todavía no busco vivienda",frio,si,frio,si,si,(ninguna→frio)
FRI-29,frio,¿Trabajan en Córdoba también o solo Mendoza?,frio,si,frio,si,si,(ninguna→frio)
FRI-30,frio,"Hola, más adelante quizás. Por ahora solo dejame el contacto",frio,si,frio,si,si,(ninguna→frio)
