id,tipo,zona,precio,descripcion,estado
MZA-001,Departamento 2 amb,Capital Mendoza,87000 USD,Av. San Martin 1450 piso 4 contrafrente balcon a la montaña | cochera opcional,disponible
MZA-002,Departamento 3 amb,Capital Mendoza,112000 USD,Belgrano 320 luminoso APTO CREDITO amenities sum,disponible
MZA-003,Monoambiente,Capital Mendoza,59000 USD,Universidad 890 ideal renta estudiantes bajo expensas,disponible
MZA-004,PH 3 amb,Godoy Cruz,98500 USD,Paso de los Andes 2100 sin expensas patio chico,disponible
MZA-005,Casa 4 amb,Las Heras,135000 USD,Panamericana km 8 barrio cerrado jardin parrilla,disponible
MZA-006,Local comercial,Godoy Cruz,45000 USD,Aristobulo del Valle 2100 frente 8m vidriera DOBLE ALTURA,disponible
MZA-007,Departamento 2 amb,Guaymallen,72000 USD,Pedro Molina 1200 semipiso vista cordillera,disponible
MZA-008,Lote 360 m2,Maipu,38000 USD,Barrancas de Dalvian servicios en esquina,disponible
MZA-009,Departamento 3 amb,Lujan de Cuyo,105000 USD,Chacras de Coria cercano bodegas cochera fija,disponible
MZA-010,Duplex 3 amb,Guaymallen,92000 USD,Villa Nueva cochera patio TECHOS altos,disponible
MZA-011,Monoambiente,Capital Mendoza,61000 USD,Plaza Espana a estrenar amenities SUM laundry,disponible
MZA-012,Casaquincho 2 amb,Las Heras,68000 USD,El Plumerillo amplio terreno parrilla,disponible
MZA-013,Departamento 4 amb,Capital Mendoza,158000 USD,Quinta Seccion cochera doble baulera familia,disponible
MZA-014,Galpon 240m2,Godoy Cruz,79000 USD,Acceso Rapido Mendoza 12m frente trifasica,disponible
MZA-015,Departamento 2 amb,Lujan de Cuyo,88000 USD,Vistalba entorno vidrieras bajas expensas,disponible
MZA-016,Casa 5 amb,Chacras de Coria,198000 USD,Pileta quincho guest house escritura lista,disponible
MZA-017,Cochera cubierta,Capital Mendoza,22000 USD,Microcentro edificio categorio port automatico,disponible
MZA-018,Departamento 3 amb,Capital Mendoza,118000 USD,Sexta Seccion balcon terraza amenities full,disponible
MZA-019,Oficina 45m2,Capital Mendoza,55000 USD,Sarmiento piso alto recepcion y meeting,disponible
MZA-020,Terreno 500m2,General Gutierrez,25000 USD,Esquina calle Pavimentada luz agua al frente,reservado
MZA-021,Departamento 2 amb,Godoy Cruz,76000 USD,Barrio Bombal 3 cuadras del shopping cerca colectivos,disponible
MZA-022,Casa 3 amb,Maipu,82000 USD,Russell centro mza cochera pasante living comedor,disponible
MZA-023,Depto loft,Capital Mendoza,95000 USD,Arquitectura industrial ubicacion gastronomica,disponible
MZA-024,Departamento 1 amb,Guaymallen,54000 USD,Dorrego ideal inversion alquiler temporal,disponible
MZA-025,Casa quinta 6 amb,Lujan de Cuyo,175000 USD,5000 m2 parral frutales riego presurizado,disponible
MZA-026,Departamento 3 amb,Maipu,69000 USD,Ciudad cerca universidad Maza APTO CREDITO,disponible
MZA-027,Local 35m2,Capital Mendoza,62000 USD,Peatonal alta circulacion techos tablaroca,disponible
MZA-028,PH 4 amb,Capital Mendoza,102000 USD,Barrio Bombal Sur entrada independiente sin expensas,disponible
MZA-029,Departamento 2 amb,Las Heras,71000 USD,Jardinhipodromo balcon norte vista cerros,disponible
MZA-030,Casa 4 amb,Godoy Cruz,128000 USD,Palmares Valle esquina living integrado cochera doble,disponible
