id,perfil_esperado,mensaje_usuario,clasificacion_obtenida,coincide,json_parseo_ok,lead_completo,tiempo_ms,respuesta_preview,timestamp_utc,modo_ejecucion,notas
CAL-01,caliente,"Hola, soy Carla, necesito comprar un depto de 2 amb en Godoy Cruz esta misma semana, presupuesto hasta 95000 dolares, decisime que hay",caliente,si,si,si,973,¡Hola Carla! Entiendo que estás buscando un departamento de 2 ambientes en Godoy Cruz con un presupuesto de hasta US 95 000 y que lo necesitás esta misma semana,2026-08-21T13:44:47.354735+00:00,groq_api:openai/gpt-oss-120b,parser mitigado + SYSTEM_MIN(lead_obligatorio_validacion); modelo=openai/gpt-oss-120b; llama-3.3-70b-versatile retirado Groq 2026-08-16
CAL-02,caliente,"Buenas, mi nombre es Martín. Busco casa 3 dorm en Maipú para mudarme ya, hasta 180 mil usd, ¿me agendás visita?",caliente,si,si,si,822,¡Hola Martín! Gracias por contactarte con Nodo Propiedades. Con gusto coordinamos la visita a las casas de 3 dormitorios que tenemos en Maipú dentro de tu rango,2026-08-21T13:44:49.777291+00:00,groq_api:openai/gpt-oss-120b,parser mitigado + SYSTEM_MIN(lead_obligatorio_validacion); modelo=openai/gpt-oss-120b; llama-3.3-70b-versatile retirado Groq 2026-08-16
CAL-03,caliente,"Soy Lucía, quiero comprar PH en Chacras hasta 220k, prioritario este mes, ¿qué tenés disponible hoy?",caliente,si,si,si,747,¡Hola Lucía! Gracias por contactarte con Nodo Propiedades. Tenemos varios PH en la zona de Chacras dentro de tu rango de precio y con disponibilidad inmediata. ,2026-08-21T13:44:52.125004+00:00,groq_api:openai/gpt-oss-120b,parser mitigado + SYSTEM_MIN(lead_obligatorio_validacion); modelo=openai/gpt-oss-120b; llama-3.3-70b-versatile retirado Groq 2026-08-16
CAL-04,caliente,"Hola soy Diego. Depto 2 amb Centro de Mendoza, compra cash hasta 80k usd, urgencia alta por trabajo",caliente,si,si,si,865,"¡Hola Diego! Gracias por contactarte con Nodo Propiedades. Entiendo que buscás un departamento de 2 ambientes en el centro de Mendoza, con presupuesto de hasta ",2026-08-21T13:44:54.591069+00:00,groq_api:openai/gpt-oss-120b,parser mitigado + SYSTEM_MIN(lead_obligatorio_validacion); modelo=openai/gpt-oss-120b; llama-3.3-70b-versatile retirado Groq 2026-08-16
CAL-05,caliente,"Me llamo Paula, busco local comercial en Godoy Cruz para comprar, presupuesto 150 mil, quiero firmar en 15 días",caliente,si,si,si,962,¡Hola Paula! Gracias por contactarte con Nodo Propiedades. Entiendo que estás interesada en adquirir un local comercial en Godoy Cruz con un presupuesto de $150,2026-08-21T13:44:57.153747+00:00,groq_api:openai/gpt-oss-120b,parser mitigado + SYSTEM_MIN(lead_obligatorio_validacion); modelo=openai/gpt-oss-120b; llama-3.3-70b-versatile retirado Groq 2026-08-16
CAL-06,caliente,"Soy Andrés, casa o duplex en Luján de Cuyo, 3 amb, compra hasta 160k, mudanza el mes que viene, dame opciones ya",caliente,si,si,si,861,"¡Hola Andrés! Entiendo que estás buscando una casa o dúplex de 3 ambientes en Luján de Cuyo, con un presupuesto de hasta $160.000 y que necesitas mudarte el mes",2026-08-21T13:44:59.615374+00:00,groq_api:openai/gpt-oss-120b,parser mitigado + SYSTEM_MIN(lead_obligatorio_validacion); modelo=openai/gpt-oss-120b; llama-3.3-70b-versatile retirado Groq 2026-08-16
CAL-07,caliente,"Hola, Vero acá. Compro depto 3 amb en Las Heras hasta 100k dólares, necesito ver uno esta semana",caliente,si,si,si,1006,"¡Hola, Vero! Muchas gracias por contactarte con Nodo Propiedades. Entiendo que estás interesada en comprar un departamento de 3 ambientes en Las Heras, con un p",2026-08-21T13:45:02.222715+00:00,groq_api:openai/gpt-oss-120b,parser mitigado + SYSTEM_MIN(lead_obligatorio_validacion); modelo=openai/gpt-oss-120b; llama-3.3-70b-versatile retirado Groq 2026-08-16
CAL-08,caliente,"Buen día, Roberto. Terreno o casa en Guaymallén para compra inmediata, max 120k, ¿tenemos turno?",caliente,si,si,si,959,"¡Buen día! Claro, contamos con opciones tanto de terrenos como de casas en Guaymallén dentro del rango de 120 000 USD y con disponibilidad para una compra inmed",2026-08-21T13:45:04.782281+00:00,groq_api:openai/gpt-oss-120b,parser mitigado + SYSTEM_MIN(lead_obligatorio_validacion); modelo=openai/gpt-oss-120b; llama-3.3-70b-versatile retirado Groq 2026-08-16
CAL-09,caliente,"Soy Flor, depto 2 dorm en Nueva Ciudad, compra hasta 110000, urgencia por alquiler que vence",caliente,si,si,si,987,"¡Hola, Flor! Gracias por contactarte con Nodo Propiedades. Entiendo que estás buscando un departamento de 2 dormitorios en Nueva Ciudad, con un presupuesto de h",2026-08-21T13:45:07.370086+00:00,groq_api:openai/gpt-oss-120b,parser mitigado + SYSTEM_MIN(lead_obligatorio_validacion); modelo=openai/gpt-oss-120b; llama-3.3-70b-versatile retirado Groq 2026-08-16
CAL-10,caliente,"Hola, soy Nico. Busco dpto amoblado o semi para comprar en Godoy Cruz, 3 amb, 130k usd, avanzar YA",caliente,si,si,si,909,"¡Hola Nico! Gracias por contactarte con Nodo Propiedades. Entiendo que estás buscando un departamento amoblado o semi‑amoblado de 3 ambientes en Godoy Cruz, con",2026-08-21T13:45:13.010568+00:00,groq_api:openai/gpt-oss-120b,parser mitigado + SYSTEM_MIN(lead_obligatorio_validacion); modelo=openai/gpt-oss-120b; llama-3.3-70b-versatile retirado Groq 2026-08-16
TIB-11,tibio,"Hola, estoy mirando departamentos por zona de Maipú, todavía no sé si compro o alquilo. ¿Qué hay por 2 amb?",tibio,si,si,si,887,¡Hola! En Maipú tenemos varias opciones de departamentos de 2 ambientes tanto para compra como para alquiler. Los precios de compra rondan los $2 500 000 – $3 2,2026-08-21T13:45:24.842095+00:00,groq_api:openai/gpt-oss-120b,parser mitigado + SYSTEM_MIN(lead_obligatorio_validacion); modelo=openai/gpt-oss-120b; llama-3.3-70b-versatile retirado Groq 2026-08-16
TIB-12,tibio,"Buenas, me interesa ver opciones de casas en Luján pero sin apuro. Presupuesto más o menos 100-130k",tibio,si,si,si,968,"¡Hola! Gracias por contactarte con Nodo Propiedades. Entiendo que estás buscando casas en la zona de Luján, con un presupuesto entre $100 mil y $130 mil, y que ",2026-08-21T13:45:27.410921+00:00,groq_api:openai/gpt-oss-120b,parser mitigado + SYSTEM_MIN(lead_obligatorio_validacion); modelo=openai/gpt-oss-120b; llama-3.3-70b-versatile retirado Groq 2026-08-16
TIB-13,tibio,"Quería consultar sobre depts en Centro, más que nada para informarme de precios",frio,no,si,si,673,¡Hola! Gracias por contactarte con Nodo Propiedades. Con gusto te brindaremos información sobre los departamentos disponibles en el Centro y sus rangos de preci,2026-08-21T13:45:29.685185+00:00,groq_api:openai/gpt-oss-120b,parser mitigado + SYSTEM_MIN(lead_obligatorio_validacion); modelo=openai/gpt-oss-120b; llama-3.3-70b-versatile retirado Groq 2026-08-16
TIB-14,tibio,"Hola, pensamos mudarnos el año que viene a Godoy Cruz, 2 o 3 amb, ¿me pasás una idea de valores?",frio,no,si,si,1069,"¡Hola! Gracias por contactarte con Nodo Propiedades. En Godoy Cruz los precios de los departamentos de 2 y 3 ambientes varían según la ubicación exacta, el esta",2026-08-21T13:45:35.561551+00:00,groq_api:openai/gpt-oss-120b,parser mitigado + SYSTEM_MIN(lead_obligatorio_validacion); modelo=openai/gpt-oss-120b; llama-3.3-70b-versatile retirado Groq 2026-08-16
TIB-15,tibio,"Estoy comparando alquiler vs compra de un local chico en Guaymallén, no tengo fecha firme",tibio,si,si,si,738,"¡Hola! Entiendo que estás evaluando la mejor opción entre alquilar o comprar un local pequeño en Guaymallén. Te puedo ayudar a comparar ambos escenarios, consid",2026-08-21T13:45:37.900831+00:00,groq_api:openai/gpt-oss-120b,parser mitigado + SYSTEM_MIN(lead_obligatorio_validacion); modelo=openai/gpt-oss-120b; llama-3.3-70b-versatile retirado Groq 2026-08-16
TIB-16,tibio,"Buenas, mi pareja y yo queremos ver un PH en Chacras cuando puedan, presupuesto flexible",tibio,si,si,si,757,"¡Hola! Gracias por contactarnos. Con gusto coordinamos una visita a un PH en la zona de Chacras. Para organizar mejor la agenda, ¿podrían indicarnos un rango ap",2026-08-21T13:45:43.399740+00:00,groq_api:openai/gpt-oss-120b,parser mitigado + SYSTEM_MIN(lead_obligatorio_validacion); modelo=openai/gpt-oss-120b; llama-3.3-70b-versatile retirado Groq 2026-08-16
TIB-17,tibio,"Hola, busco info de duplex en Las Heras, aún estamos evaluando bancos",tibio,si,si,si,870,¡Hola! Gracias por contactarte con Nodo Propiedades. En Las Heras contamos con varios dúplex que pueden adaptarse a tus necesidades. Te puedo enviar información,2026-08-21T13:45:49.017413+00:00,groq_api:openai/gpt-oss-120b,parser mitigado + SYSTEM_MIN(lead_obligatorio_validacion); modelo=openai/gpt-oss-120b; llama-3.3-70b-versatile retirado Groq 2026-08-16
TIB-18,tibio,Consulta general: qué tenés en Maipú alrededor de 70 mil dólares en depts,tibio,si,si,si,804,¡Hola! Gracias por tu consulta. En Maipú contamos con varios departamentos dentro del rango de 70 mil dólares. Te puedo enviar una lista con los inmuebles dispo,2026-08-21T13:45:51.422980+00:00,groq_api:openai/gpt-oss-120b,parser mitigado + SYSTEM_MIN(lead_obligatorio_validacion); modelo=openai/gpt-oss-120b; llama-3.3-70b-versatile retirado Groq 2026-08-16
TIB-19,tibio,"Hola, me gustaría conocer opciones de casa 2 dorm, no sé zona todavía, tal vez Maipú o Godoy",tibio,si,si,si,844,¡Hola! Gracias por contactarte con Nodo Propiedades. Con gusto te ayudamos a encontrar la casa de 2 dormitorios que buscas. Nos comentás que te interesan zonas ,2026-08-21T13:45:53.867613+00:00,groq_api:openai/gpt-oss-120b,parser mitigado + SYSTEM_MIN(lead_obligatorio_validacion); modelo=openai/gpt-oss-120b; llama-3.3-70b-versatile retirado Groq 2026-08-16
