id,escenario,perfil_esperado,clasificacion_obtenida,json_parseo_ok,lead_completo,flujo_no_corta,tiempo_ms,notas,input_preview
F3-01,F3_json_malformado,n/a,(sin temp),mitigado_sin_lead,no,si,0,mitigated Parsear Respuesta port,"Hola, te dejo el resumen. ###LEAD_COMPLETO### {""nombre"":""Ana"",""zona"":""Godoy Cruz"",""presupuesto"":""80k"
F3-02,F3_json_malformado,n/a,(sin temp),mitigado_sin_lead,no,si,0,mitigated Parsear Respuesta port,"Hola, te dejo el resumen. ###LEAD_COMPLETO### {'nombre':'Ana','zona':'Godoy Cruz','temperatura':'cal"
F3-03,F3_json_malformado,n/a,(sin temp),mitigado_sin_lead,no,si,0,mitigated Parsear Respuesta port,"Hola, te dejo el resumen. ###LEAD_COMPLETO### {""nombre"":""Luis"",""zona"":""Centro"", ""presupuesto"":""50.00"
F3-04,F3_json_malformado,n/a,(sin temp),mitigado_sin_lead,no,si,0,mitigated Parsear Respuesta port,"Hola, te dejo el resumen. ###LEAD_COMPLETO### {""nombre"":""Mara"",""zona"":""Maipú"",""presupuesto"":""100000"""
F3-05,F3_json_malformado,n/a,(sin temp),mitigado_sin_lead,no,si,0,mitigated Parsear Respuesta port,"Hola, te dejo el resumen. ###LEAD_COMPLETO### {""nombre"":""Pedro"",""zona"":""Lujan"",""presupuesto"":null,""o"
F3-06,F3_json_malformado,n/a,(sin temp),mitigado_sin_lead,no,si,0,mitigated Parsear Respuesta port,"Hola, te dejo el resumen. ###LEAD_COMPLETO### {""nombre"":""Sofia"",""zona"":""Chacras"",""presupuesto"":""200k"
F3-07,F3_json_malformado,n/a,(sin temp),mitigado_sin_lead,no,si,0,mitigated Parsear Respuesta port,"Hola, te dejo el resumen. ###LEAD_COMPLETO### {""nombre"":""Diego"",""zona"":""Las Heras"",""presupuesto"":""70"
F3-08,F3_json_malformado,n/a,(sin temp),mitigado_sin_lead,no,si,0,mitigated Parsear Respuesta port,"Hola, te dejo el resumen. ###LEAD_COMPLETO### {nombre: ""Eva"", zona: ""Guaymallen"", temperatura: ""tibi"
F3-09,F3_json_malformado,n/a,(sin temp),mitigado_sin_lead,no,si,0,mitigated Parsear Respuesta port,"Hola, te dejo el resumen. ###LEAD_COMPLETO### {""nombre"":""Tom"",""zona"":""Palermo"",""presupuesto"":""130000"
F3-10,F3_json_malformado,n/a,(sin temp),mitigado_sin_lead,no,si,0,mitigated Parsear Respuesta port,"Hola, te dejo el resumen. ###LEAD_COMPLETO### nombre:Carlos,zona:Caballito,temperatura:caliente ###F"
F3-11,F3_json_malformado,n/a,(sin temp),mitigado_sin_lead,no,si,0,mitigated Parsear Respuesta port,"Hola, te dejo el resumen. ###LEAD_COMPLETO### {""nombre"":""Nico"",""zona"":""Godoy Cruz"",""presupuesto"":""90"
F3-12,F3_json_malformado,n/a,(sin temp),mitigado_sin_lead,no,si,0,mitigated Parsear Respuesta port,"Hola, te dejo el resumen. ###LEAD_COMPLETO### {""nombre"":""Luz"",""zona"":""Centro"",""presupuesto"":""45k"",""o"
F3-13,F3_json_malformado,n/a,(sin temp),mitigado_sin_lead,no,si,0,mitigated Parsear Respuesta port,###LEAD_COMPLETO### only header no end
F3-14,F3_json_malformado,n/a,tibio,si,si,si,0,mitigated Parsear Respuesta port,"Hola, te dejo el resumen. ###LEAD_COMPLETO### {""nombre"":""Paz"",""zona"":""Maipú"",""presupuesto"":""60k"",""op"
F3-15,F3_json_malformado,n/a,(sin temp),mitigado_sin_lead,no,si,0,mitigated Parsear Respuesta port,"Hola, te dejo el resumen. ###LEAD_COMPLETO### {""nombre"":true,""zona"":123,""presupuesto"":{},""operacion"""
F3-16,F3_json_malformado,n/a,caliente,si,si,si,0,mitigated Parsear Respuesta port,"Hola, te dejo el resumen. ###LEAD_COMPLETO### {""nombre"":""Rocío"",""zona"":""Godoy Cruz"",""presupuesto"":""1"
F3-17,F3_json_malformado,n/a,(sin temp),mitigado_sin_lead,no,si,0,mitigated Parsear Respuesta port,"Hola, te dejo el resumen. ###LEAD_COMPLETO### {   ""nombre"": ""Valen"",   ""zona"": ""Luján de Cuyo"",   ""p"
F3-18,F3_json_malformado,n/a,(sin temp),mitigado_sin_lead,no,si,0,mitigated Parsear Respuesta port,"Hola, te dejo el resumen. ###LEAD_COMPLETO### {""nombre"":""Agus"",""zona"":""Centro"",""presupuesto"":""55 mil"
F3-19,F3_json_malformado,n/a,frio,si,si,si,0,mitigated Parsear Respuesta port,"Bueno. ###LEAD_COMPLETO### ```json {""nombre"":""Fran"",""zona"":""Maipú"",""temperatura"":""frio""} ``` ###FIN_"
F3-20,F3_json_malformado,n/a,caliente,si,si,si,0,mitigated Parsear Respuesta port,"Hola, te dejo el resumen. ###LEAD_COMPLETO### {""nombre"":""Sam"",""zona"":""Chacras"",""presupuesto"":""300k"","
